d1,d2,scale,orig_o1,orig_o2,patched_o1,patched_o2,swapped
26,43,0.9410000000000001,43,43,43,43,False
10,26,8.9465,10,26,34,26,False
58,30,5.197500000000001,30,30,70,58,False
65,54,0.355,65,54,54,54,False
43,74,0.5765,43,74,74,74,False
52,74,0.35150000000000003,52,74,74,74,False
1,74,0.367,1,74,74,74,False
77,56,0.376,77,56,56,56,False
90,64,9.86,90,90,34,64,False
25,75,0.373,25,75,75,75,False
51,30,0.7444999999999999,51,30,30,30,False
70,36,0.556,70,36,36,36,False
8,80,0.4035,8,80,80,80,False
14,50,0.406,14,50,50,50,False
30,43,0.47850000000000004,30,43,43,43,False
67,66,9.559000000000001,67,66,70,66,False
76,16,8.614,76,16,70,16,False
1,7,0.40549999999999997,1,7,7,7,False
6,92,0.4555,6,92,92,92,False
21,73,7.5985,21,21,70,73,False
31,40,9.280000000000001,31,31,70,51,False
62,50,8.1265,62,50,70,50,False
69,87,0.42700000000000005,69,87,87,87,False
93,25,0.423,93,25,25,25,False
40,69,0.9844999999999999,69,69,69,69,False
12,24,0.484,12,24,24,24,False
93,22,0.3915,93,22,22,22,False
65,99,0.4595,65,99,99,99,False
17,1,8.85,17,17,70,1,False
30,11,7.4205000000000005,30,30,70,11,False
6,45,0.42000000000000004,6,45,45,45,False
11,19,0.54,11,19,19,13,False
82,80,0.3285,82,80,80,80,False
84,62,0.4215,84,62,62,62,False
89,8,9.288,89,8,70,8,False
5,20,0.399,5,20,20,20,False
83,56,0.347,83,56,56,56,False
17,71,8.406,17,71,70,71,False
1,91,8.085,1,91,70,91,False
64,54,0.46499999999999997,64,54,54,54,False
70,41,0.5165,70,41,41,58,False
81,35,5.1345,35,35,35,81,True
51,22,0.40449999999999997,51,22,22,22,False
74,61,8.5615,74,61,77,61,False
16,56,0.396,16,56,56,56,False
38,1,8.6035,38,1,70,1,False
67,4,0.398,67,4,4,4,False
98,1,7.845000000000001,98,98,70,1,False
70,62,0.47250000000000003,70,62,62,62,False
28,0,8.3,28,0,70,0,False
83,63,0.447,83,63,63,63,False
50,43,2.0315000000000003,50,43,43,50,True
59,45,0.512,59,45,45,45,False
31,41,0.3845,31,41,41,41,False
3,68,9.035499999999999,3,68,70,68,False
18,74,0.397,18,74,74,74,False
1,70,3.5415,1,70,70,1,True
67,99,0.394,67,99,99,99,False
39,56,0.48950000000000005,39,56,56,56,False
72,94,7.8735,72,94,70,94,False
62,56,2.251,56,56,56,62,True
37,31,4.170999999999999,37,31,31,37,True
39,1,6.047,39,1,1,39,True
32,70,3.873,32,70,70,32,True
16,71,7.9015,16,71,70,71,False
67,84,9.374500000000001,67,84,70,84,False
19,97,9.625499999999999,19,97,70,97,False
58,12,0.487,58,12,12,12,False
91,64,0.48300000000000004,91,64,64,64,False
20,4,0.5555,20,4,4,4,False
40,70,2.6195,40,70,70,40,True
40,25,0.471,40,25,25,25,False
86,56,0.3895,86,56,56,56,False
91,88,0.461,91,88,88,88,False
14,82,9.902000000000001,14,82,70,82,False
11,50,0.42600000000000005,11,50,50,50,False
8,52,0.471,8,52,52,52,False
86,95,0.3835,86,95,95,95,False
71,7,0.437,71,7,7,7,False
72,47,8.1915,72,47,70,47,False
67,74,0.4145,67,74,74,74,False
26,7,0.585,26,7,7,7,False
31,63,0.4155,31,63,63,63,False
0,33,0.421,0,33,33,33,False
37,45,0.46599999999999997,37,45,45,45,False
24,43,8.0115,24,43,70,43,False
76,22,0.391,76,22,22,22,False
40,18,6.8934999999999995,40,18,70,18,False
71,61,0.46549999999999997,71,61,61,61,False
85,63,0.397,85,63,63,63,False
40,67,0.748,40,67,67,67,False
34,82,0.7284999999999999,34,82,82,82,False
14,5,9.766,14,5,70,5,False
77,31,0.6779999999999999,77,65,31,31,False
98,89,0.7769999999999999,98,89,89,89,False
96,62,0.3695,96,62,62,62,False
12,10,0.45799999999999996,12,10,10,10,False
77,62,0.3855,70,62,62,62,False
84,2,6.9805,84,2,70,2,False
86,27,0.47,86,27,27,27,False
39,29,0.46399999999999997,39,29,29,29,False
38,82,8.868500000000001,38,82,70,82,False
47,88,0.484,47,88,88,88,False
31,75,0.366,31,75,75,61,False
86,62,0.3835,86,62,62,62,False
40,24,0.4335,40,24,24,24,False
30,85,0.594,30,85,85,85,False
53,62,0.38549999999999995,53,62,62,62,False
28,23,0.421,28,23,23,23,False
8,27,0.47750000000000004,8,27,27,27,False
31,49,0.4475,31,49,49,49,False
2,35,0.48150000000000004,2,35,35,35,False
17,25,0.48450000000000004,17,25,25,25,False
29,57,8.762,29,57,70,57,False
16,23,0.365,16,23,23,36,False
11,23,0.384,11,23,23,49,False
95,56,1.9425000000000001,56,56,56,95,True
76,24,0.4265,76,24,24,24,False
18,96,0.4805,18,96,96,96,False
5,68,2.6384999999999996,68,68,68,5,True
54,19,7.8095,54,19,70,19,False
69,71,7.1745,69,71,70,71,False
17,28,9.4375,17,17,70,28,False
14,32,8.777000000000001,14,14,70,32,False
30,40,7.6605,30,40,70,40,False
6,44,0.8165,6,44,44,44,False
85,92,0.39649999999999996,85,92,92,92,False
93,96,0.46849999999999997,93,96,96,96,False
93,72,0.5509999999999999,93,72,72,72,False
77,48,0.4465,77,48,48,48,False
52,7,0.46499999999999997,52,7,7,7,False
38,80,0.5105,38,80,80,80,False
39,22,0.42100000000000004,39,22,22,22,False
86,75,0.37750000000000006,86,75,75,75,False
16,20,0.427,16,20,20,20,False
58,34,5.4685,58,34,34,58,True
72,87,7.1075,72,87,70,87,False
72,49,6.567,72,49,70,15,False
66,27,0.4065,66,27,27,27,False
66,72,0.5700000000000001,66,72,72,72,False
42,19,0.6174999999999999,42,19,19,19,False
34,26,0.45899999999999996,34,26,26,26,False
28,47,7.8405000000000005,28,47,70,47,False
1,62,0.375,1,62,62,62,False
56,41,8.453,56,41,70,41,False
51,13,0.5469999999999999,51,13,13,13,False
39,55,5.729,55,55,55,39,True
91,29,0.374,70,29,29,29,False
72,55,8.254,72,55,70,55,False
8,65,0.489,8,65,65,65,False
66,46,0.424,66,46,46,46,False
52,72,0.6325000000000001,52,72,72,72,False
47,92,0.4635,47,92,92,92,False
73,49,0.4345,73,49,49,49,False
83,74,0.3915,83,74,74,74,False
34,60,0.545,34,19,60,60,False
68,20,0.482,68,20,20,20,False
18,56,0.3925,18,56,56,56,False
11,63,0.44199999999999995,11,63,63,63,False
5,40,7.5395,5,5,70,51,False
16,70,4.087,16,70,70,16,True
70,56,0.46799999999999997,70,56,56,83,False
14,36,0.4895,14,36,36,36,False
97,99,0.3155,97,99,99,99,False
24,80,7.9399999999999995,24,80,70,80,False
82,51,4.1135,82,51,51,82,True
17,63,0.42200000000000004,17,63,63,63,False
67,72,0.5854999999999999,67,72,72,27,False
53,45,0.47050000000000003,53,45,45,45,False
2,47,1.1215000000000002,47,47,47,47,False
59,68,5.0385,59,68,68,59,True
19,85,9.8705,19,85,70,85,False
34,51,7.1715,34,51,70,51,False
28,2,7.886,28,28,70,2,False
6,73,8.9215,6,73,70,73,False
12,4,0.5155000000000001,12,4,4,4,False
11,0,8.004999999999999,11,11,70,70,False
82,92,0.382,82,92,92,88,False
69,18,7.6395,69,18,70,18,False
29,61,9.597999999999999,29,61,70,61,False
93,95,0.40599999999999997,93,95,95,95,False
60,6,2.2585,6,6,6,36,False
11,22,0.3845,11,22,22,22,False
84,34,2.5105,84,34,34,84,True
91,77,6.598,91,91,70,77,False
31,10,0.3785,31,10,10,10,False
73,79,0.34950000000000003,73,79,79,79,False
73,50,0.38,73,50,50,50,False
89,34,9.6785,89,34,34,34,False
54,92,7.651,54,92,70,92,False
15,63,0.397,15,63,63,63,False
18,12,0.4905,18,12,12,12,False
69,7,0.406,69,7,7,7,False
77,63,0.446,77,63,63,63,False
78,5,9.478,78,5,70,70,False
51,3,0.6679999999999999,51,3,3,3,False
19,32,9.2285,19,32,70,32,False
47,44,0.605,47,44,44,44,False
33,61,0.8719999999999999,61,61,61,61,False
47,18,7.0105,47,18,70,18,False
21,5,8.795,21,5,70,5,False
59,99,0.3975,59,99,99,99,False
69,86,7.358499999999999,69,86,70,86,False
51,76,0.681,51,76,76,76,False
88,49,0.8275,49,49,49,49,False
56,72,6.682,56,56,70,77,False
53,26,0.45999999999999996,53,26,26,26,False
11,12,0.48350000000000004,11,12,12,12,False
82,13,0.775,82,13,13,13,False
86,64,0.46699999999999997,86,64,64,64,False
72,17,7.954000000000001,72,17,70,17,False
83,24,0.373,83,24,24,24,False
0,35,0.508,0,35,35,35,False
73,5,9.57,73,5,70,5,False
9,74,0.40049999999999997,9,74,74,74,False
66,40,7.8535,66,40,70,40,False
82,86,8.2705,82,86,70,86,False
15,80,0.387,15,80,80,80,False
5,80,0.357,5,80,80,90,False
51,88,0.482,51,88,88,88,False
68,90,0.44500000000000006,68,90,90,90,False
58,43,0.389,58,43,43,43,False
86,12,0.5015000000000001,86,12,12,12,False
94,75,0.33,94,75,75,63,False
89,45,0.357,89,45,45,45,False
53,83,0.5619999999999999,53,83,83,83,False
1,33,0.47750000000000004,1,33,33,33,False
15,10,0.41400000000000003,15,10,10,10,False
91,34,5.342,34,34,70,34,False
30,49,0.47950000000000004,30,49,49,49,False
44,81,1.102,81,81,81,81,False
32,62,0.4025,32,62,62,62,False
84,26,0.444,84,26,26,26,False
42,75,0.41400000000000003,42,75,75,75,False
21,33,0.39,21,33,33,33,False
77,70,2.2350000000000003,77,70,70,77,True
93,34,7.500500000000001,93,34,70,34,False
91,17,0.6359999999999999,91,17,17,17,False
85,54,0.316,85,54,54,54,False
84,14,0.7865,84,14,14,14,False
99,19,7.999499999999999,99,19,70,19,False
44,23,0.4515,44,23,23,23,False
98,69,8.0,98,69,70,69,False
68,64,0.47100000000000003,68,64,64,64,False
60,10,0.371,60,10,10,10,False
67,97,0.7305,67,97,97,97,False
28,73,7.4475,28,28,70,73,False
89,19,0.617,89,19,19,19,False
92,62,0.5485,92,62,62,62,False
69,48,0.4305,69,48,48,48,False
93,62,0.402,93,62,62,62,False
66,21,1.163,21,21,21,21,False
98,53,7.74,98,53,70,53,False
83,26,0.32999999999999996,83,26,26,26,False
97,95,0.3085,97,95,95,95,False
16,51,8.4885,16,51,51,51,False
34,33,0.4595,34,33,33,59,False
3,12,0.4135,3,12,12,12,False
49,38,9.057500000000001,49,38,70,38,False
78,94,0.6335,78,94,94,94,False
60,7,0.40449999999999997,60,7,7,7,False
60,8,9.8035,60,8,70,8,False
20,7,0.3765,20,7,7,7,False
47,46,0.509,47,46,46,46,False
72,7,0.6995,72,7,7,7,False
55,38,0.8614999999999999,55,38,38,38,False
21,70,4.365,21,70,70,21,True
21,29,0.391,21,29,29,29,False
83,92,0.39749999999999996,83,92,92,92,False
19,66,9.9825,19,66,70,66,False
84,54,0.40049999999999997,84,54,54,54,False
47,30,0.7355,47,30,30,30,False
6,78,4.3995,6,78,78,6,True
84,57,0.4165,84,57,57,90,False
6,0,9.599499999999999,6,0,70,0,False
76,63,0.412,76,63,63,63,False
37,78,8.146,37,78,70,78,False
21,41,0.404,21,41,41,41,False
30,90,0.45999999999999996,30,90,90,90,False
40,41,0.4825,40,41,41,41,False
30,61,0.469,30,61,61,61,False
81,66,9.724499999999999,81,66,70,66,False
67,68,9.591999999999999,67,68,70,68,False
29,50,8.757,29,50,70,50,False
32,1,8.012,32,1,70,1,False
82,96,0.40049999999999997,82,96,96,96,False
47,24,0.4255,47,24,24,24,False
88,22,0.4255,88,22,22,22,False
5,56,0.39,5,56,56,52,False
77,24,0.3735,77,24,24,24,False
76,57,0.36,76,57,57,57,False
77,20,0.4625,77,20,20,20,False
14,56,0.39049999999999996,14,56,56,56,False
38,40,8.219,38,40,70,40,False
96,23,0.4305,96,23,23,23,False
24,92,7.8,24,92,70,92,False
9,80,0.2805,9,80,80,80,False
83,72,0.574,83,72,72,72,False
1,49,0.447,1,49,49,49,False
47,26,0.4845,47,26,26,26,False
0,7,0.4115,0,7,7,7,False
38,63,0.5660000000000001,38,63,63,63,False
0,41,0.4105,0,41,41,41,False
40,88,0.489,40,88,88,88,False
77,97,0.471,77,97,97,97,False
82,5,8.393,82,5,70,5,False
15,44,0.6100000000000001,15,44,44,44,False
84,46,0.4855,84,46,46,46,False
10,19,8.901,10,19,70,19,False
21,23,0.3625,21,23,23,26,False
67,54,0.358,67,54,54,54,False
59,94,1.0565,94,94,94,94,False
68,87,0.46099999999999997,68,87,87,87,False
78,41,0.4535,78,41,41,41,False
85,87,0.3965,85,87,87,87,False
3,11,8.2295,3,11,70,11,False
53,54,0.381,53,54,54,54,False
0,46,0.43000000000000005,0,46,46,46,False
81,7,0.4885,81,7,7,7,False
60,45,0.3805,60,45,45,45,False
28,53,7.7905,28,53,70,53,False
76,7,0.45599999999999996,76,7,7,7,False
93,69,7.468999999999999,93,93,70,69,False
83,62,0.4395,83,62,62,62,False
16,79,0.40800000000000003,16,79,79,79,False
73,20,0.4345,73,20,20,20,False
86,83,0.5725,86,83,83,83,False
64,72,0.6725,64,72,72,72,False
70,45,0.581,70,45,45,45,False
35,7,0.39,35,7,7,7,False
47,19,0.5305,47,19,19,19,False
3,50,0.47650000000000003,3,50,50,50,False
80,29,0.657,80,29,29,29,False
2,77,7.233499999999999,2,77,70,77,False
58,64,0.511,58,64,64,64,False
2,29,0.383,2,29,29,29,False
21,38,0.6925,21,38,38,38,False
8,54,0.3815,8,54,54,54,False
19,58,9.9285,19,58,70,58,False
76,32,8.6975,76,76,70,32,False
28,92,0.4355,28,92,92,92,False
28,22,0.41150000000000003,28,22,22,22,False
6,11,8.86,6,6,70,11,False
58,4,0.4305,58,4,4,4,False
67,48,0.4375,67,48,48,48,False
55,10,0.392,55,10,10,10,False
37,81,0.8,37,81,81,81,False
67,1,9.4185,67,1,70,1,False
3,41,0.504,3,41,41,41,False
1,4,0.374,1,4,4,25,False
37,33,0.512,37,33,33,33,False
28,83,0.6915,28,83,83,83,False
91,24,0.385,91,24,24,24,False
71,12,0.504,71,12,12,12,False
22,19,7.5525,22,22,70,67,False
8,12,0.49549999999999994,8,12,12,12,False
19,24,0.5655,19,24,24,24,False
11,14,0.6315,11,52,14,14,False
78,21,1.0025,21,21,21,21,False
82,0,8.4535,82,0,70,0,False
94,74,0.346,94,74,74,74,False
68,48,0.45099999999999996,68,48,48,48,False
3,85,0.54,3,85,85,85,False
66,29,0.4215,66,29,29,29,False
72,90,7.218999999999999,72,90,70,94,False
58,90,0.396,58,90,90,90,False
82,24,0.402,82,24,24,24,False
40,14,0.748,40,14,14,14,False
55,56,0.37649999999999995,55,56,56,56,False
48,26,0.402,48,26,26,26,False
28,7,0.42,28,7,7,7,False
69,75,0.36,69,75,75,61,False
66,19,0.5395,66,19,19,19,False
7,92,7.3795,7,92,70,92,False
30,91,8.1075,30,91,70,91,False
32,29,0.39499999999999996,32,29,29,29,False
16,61,0.4065,16,61,61,61,False
27,54,0.32999999999999996,27,54,54,54,False
69,85,0.5529999999999999,69,85,85,85,False
98,40,7.651,98,40,70,40,False
1,38,0.731,1,38,38,38,False
57,92,6.4990000000000006,57,57,70,92,False
62,23,0.8855,23,62,23,62,True
28,56,0.40149999999999997,28,56,56,56,False
30,77,8.089500000000001,30,77,77,77,False
52,87,1.469,87,87,87,87,False
50,61,7.242,50,50,70,61,False
84,4,0.42100000000000004,84,4,4,4,False
65,62,0.422,65,62,62,62,False
39,72,0.619,39,72,72,72,False
33,12,0.503,33,12,12,12,False
21,19,0.5640000000000001,21,19,19,19,False
33,41,0.7989999999999999,41,41,41,41,False
59,97,0.808,59,97,97,97,False
10,72,6.507,10,72,70,67,False
36,10,0.47000000000000003,36,10,10,10,False
69,35,0.56,69,35,35,35,False
62,61,8.324,62,61,70,61,False
39,50,0.40900000000000003,39,50,50,50,False
59,38,0.9359999999999999,59,38,38,38,False
72,38,7.115,72,38,70,15,False
1,75,0.35950000000000004,1,75,75,26,False
83,7,0.4465,83,7,7,7,False
53,24,0.4,53,24,24,24,False
81,60,9.8635,81,60,70,60,False
51,85,0.5415,51,85,85,85,False
23,41,7.9775,23,41,70,41,False
91,8,0.8360000000000001,91,8,8,8,False
2,91,8.239,2,2,70,70,False
78,19,0.5555,78,19,19,19,False
12,38,9.42,12,38,70,38,False
5,10,0.399,5,10,10,10,False
67,24,0.414,67,24,24,24,False
51,87,0.4405,51,87,87,87,False
28,91,8.4735,28,91,70,91,False
47,69,0.8845000000000001,47,69,69,69,False
40,63,0.45999999999999996,40,63,63,63,False
37,68,8.47,37,68,70,68,False
44,0,6.4265,44,0,0,44,True
39,46,0.46799999999999997,39,46,46,46,False
91,46,0.47050000000000003,91,46,46,46,False
70,80,0.4875,70,80,80,79,False
98,74,0.3715,98,74,74,74,False
66,5,8.818999999999999,66,66,70,5,False
92,4,0.7115,92,4,4,4,False
85,62,0.4275,85,62,62,62,False
64,24,0.4035,64,24,24,24,False
81,37,9.326,81,37,70,37,False
8,7,0.437,8,7,7,7,False
18,41,0.43599999999999994,18,41,41,41,False
34,36,0.485,34,36,36,36,False
48,75,0.3745,48,75,75,75,False
37,95,0.41700000000000004,37,95,95,95,False
27,92,0.594,27,92,92,92,False
76,69,9.211500000000001,76,69,70,69,False
28,74,0.4175,28,74,74,74,False
69,95,0.372,69,95,95,36,False
86,36,0.472,86,36,36,36,False
69,46,0.45999999999999996,69,46,46,46,False
40,45,0.46099999999999997,40,45,45,45,False
58,40,9.309000000000001,58,40,70,40,False
2,19,0.538,2,19,19,19,False
11,34,6.957,11,34,70,34,False
63,29,0.6065,63,29,29,29,False
78,65,0.529,78,65,65,65,False
30,68,7.8825,30,68,70,68,False
66,75,0.383,66,75,75,75,False
76,11,8.524000000000001,76,11,70,11,False
90,29,0.4185,90,29,29,29,False
58,79,0.3395,58,79,79,79,False
3,43,0.4245,3,43,43,43,False
92,63,7.5645,92,92,70,63,False
69,80,0.40700000000000003,69,80,80,80,False
26,29,0.5645,26,29,29,29,False
89,88,0.4465,89,88,88,88,False
32,18,8.224499999999999,32,18,70,18,False
39,7,0.4605,39,7,7,7,False
43,7,0.608,43,7,7,7,False
30,48,0.534,30,48,48,48,False
16,53,8.31,16,53,70,53,False
36,41,0.631,36,41,41,41,False
1,34,7.365,1,34,70,34,False
51,78,0.812,51,78,78,78,False
73,62,0.3945,73,62,62,62,False
71,80,0.4395,71,80,80,80,False
15,2,8.758,15,2,70,2,False
37,30,8.1805,37,37,70,30,False
55,41,0.35850000000000004,55,41,41,41,False
71,72,0.5345,71,72,72,27,False
19,28,9.7355,19,28,70,28,False
38,24,0.46299999999999997,38,24,24,24,False
72,0,8.696,72,0,70,0,False
17,65,0.565,17,65,65,65,False
17,91,9.622,17,91,70,91,False
5,51,7.2785,5,51,51,51,False
15,34,7.647,15,34,70,34,False
25,7,0.399,25,7,7,7,False
25,54,0.377,25,54,54,54,False
23,10,1.1515,10,10,10,10,False
75,41,8.6835,75,41,70,41,False
10,57,8.5705,10,57,70,57,False
1,2,7.608499999999999,1,2,70,2,False
66,64,0.513,66,64,64,64,False
2,94,0.5225,2,94,94,94,False
96,80,0.628,96,80,80,80,False
19,79,8.899000000000001,19,79,70,79,False
69,40,8.08,69,69,70,77,False
21,85,0.527,21,85,85,85,False
50,29,0.6015,50,29,29,29,False
9,38,3.7025,38,38,38,9,True
37,71,8.1955,37,71,70,71,False
4,64,6.2825,4,64,64,4,True
38,77,9.3385,38,77,77,77,False
1,19,0.5185,1,19,19,19,False
47,63,0.46699999999999997,47,63,63,63,False
33,7,0.478,33,7,7,7,False
77,83,0.5515,77,83,83,83,False
90,24,0.4235,90,24,24,24,False
51,45,0.4745,51,45,45,45,False
77,15,0.7175,77,15,15,15,False
6,99,0.39249999999999996,6,99,99,99,False
98,22,0.35550000000000004,98,22,22,20,False
89,75,0.3835,89,75,75,80,False
11,95,0.34950000000000003,11,95,95,36,False
34,64,0.469,34,64,64,64,False
59,21,9.661999999999999,59,21,70,21,False
51,75,0.3915,51,75,75,75,False
47,49,0.5105,47,49,49,49,False
90,7,0.45499999999999996,90,7,7,7,False
51,89,0.6275,51,89,89,89,False
3,5,9.440000000000001,3,5,70,5,False
90,72,0.67,90,72,72,72,False
91,32,0.747,91,32,32,32,False
83,23,0.367,83,23,23,23,False
48,41,0.5695,48,41,41,41,False
72,36,6.8835,72,36,70,67,False
44,10,0.4185,44,10,10,10,False
47,33,0.49150000000000005,47,33,33,33,False
32,60,0.7869999999999999,32,60,60,60,False
89,3,9.866,89,3,70,3,False
4,46,8.705,4,46,70,46,False
6,93,9.307500000000001,6,93,70,93,False
19,44,9.2955,19,44,70,44,False
47,4,0.41200000000000003,47,4,4,48,False
39,24,0.453,39,24,24,24,False
93,66,7.0184999999999995,93,93,70,66,False
43,75,0.6405000000000001,43,75,75,75,False
1,10,0.371,1,10,10,10,False
55,23,0.3605,55,23,23,23,False
0,51,7.4155,0,51,51,51,False
15,79,0.387,15,79,79,79,False
8,94,0.5405,8,94,94,94,False
8,36,0.485,8,36,36,36,False
77,81,0.5874999999999999,77,81,81,81,False
58,71,9.2975,58,71,70,71,False
98,26,0.4375,98,26,26,26,False
32,99,0.4265,32,99,99,99,False
86,19,0.529,86,19,19,19,False
1,46,0.4465,1,46,46,46,False
1,86,3.026,1,86,86,1,True
31,74,0.36000000000000004,31,74,74,74,False
7,80,7.3625,7,80,70,80,False
44,56,0.45499999999999996,44,56,56,56,False
18,36,0.46,18,36,36,36,False
24,54,6.833,24,24,70,34,False
40,39,0.63,40,39,39,39,False
39,64,0.687,39,64,64,64,False
86,89,0.6245,86,89,89,89,False
82,29,0.35750000000000004,82,29,29,29,False
32,72,0.5335,32,72,72,72,False
8,56,0.4015,8,56,56,56,False
89,57,0.395,89,57,57,57,False
32,89,0.8320000000000001,32,89,89,89,False
31,81,0.5860000000000001,31,81,81,81,False
8,97,0.523,8,97,97,97,False
8,75,0.377,8,75,75,61,False
77,54,0.35250000000000004,77,54,54,54,False
45,74,0.5105,45,74,74,74,False
48,92,0.416,48,92,92,92,False
14,43,0.373,14,43,43,43,False
72,32,8.065,72,32,70,32,False
58,97,0.6759999999999999,58,97,97,97,False
65,7,0.4585,65,7,7,7,False
66,69,8.1755,66,69,70,69,False
82,71,7.8045,82,71,70,71,False
17,32,7.984999999999999,17,32,70,32,False
98,90,0.4095,98,90,90,90,False
56,29,0.7275,56,29,29,29,False
91,26,0.44899999999999995,91,26,26,26,False
84,61,0.45799999999999996,84,61,61,61,False
53,19,0.5469999999999999,53,19,19,19,False
78,72,0.5535,78,72,72,12,False
11,25,0.451,11,25,25,25,False
31,26,0.40249999999999997,31,26,26,26,False
32,92,0.43600000000000005,32,92,92,92,False
5,71,6.982,5,71,70,71,False
73,75,0.369,73,75,75,61,False
11,64,0.48550000000000004,11,64,64,64,False
82,7,0.38949999999999996,82,7,7,7,False
55,90,0.475,55,90,90,90,False
24,22,7.1425,24,22,70,22,False
37,94,1.1795,94,94,94,94,False
44,1,5.9425,44,1,1,44,True
93,80,0.3855,93,80,80,80,False
30,34,7.662,30,34,70,34,False
50,80,1.1945000000000001,80,80,80,80,False
98,24,0.4105,98,24,24,24,False
88,80,0.54,88,80,80,80,False
